file	tstamp	developer	version	lines_add	lines_del	description
/cvsroot/zile/zile/.cvsignore	2004-12-21 01:30:15.0	rrt	1.9	2	0	Improve EPOC packaging: add emxuser.sis to the SIS. Add the files thusused to .cvsignore.
/cvsroot/zile/zile/.cvsignore	2004-12-19 01:17:14.0	rrt	1.8	1	1	Correct the pattern for tarballs.
/cvsroot/zile/zile/.cvsignore	2004-12-19 00:28:04.0	rrt	1.7	1	0	First cut of &quot;make dist-epoc&quot;. Currently this just makes the SIS. Itshould make a versioned zip containing a README.
/cvsroot/zile/zile/.cvsignore	2004-12-19 00:03:31.0	rrt	1.6	1	0	Add a pattern for make dist tarballs.
/cvsroot/zile/zile/.cvsignore	2004-09-20 11:59:56.0	rrt	1.5	1	0	Add stamp-h1
/cvsroot/zile/zile/.cvsignore	2004-07-10 23:47:37.0	rrt	1.4	2	1	Remove stamp-h1, which seems to be obsolete, and add stamp-h andstamp-h.in.
/cvsroot/zile/zile/.cvsignore	2004-01-28 15:09:24.0	rrt	1.3	4	0	Added more files resulting from autotoolisation.
/cvsroot/zile/zile/.cvsignore	2003-05-25 22:47:20.0	rrt	1.2	1	0	Add configure.
/cvsroot/zile/zile/.cvsignore	2003-05-16 17:17:53.0	ssigala	1.1	0	0	added files to ignore configure generated files.
/cvsroot/zile/zile/AUTHORS	2004-12-19 01:10:04.0	rrt	1.5	0	42	Put the acknowledgements, more correctly and logically, in THANKS.
/cvsroot/zile/zile/AUTHORS	2004-12-19 01:09:24.0	rrt	1.4	7	4	Add some acknowledgements for the EPOC port.
/cvsroot/zile/zile/AUTHORS	2004-12-19 00:28:45.0	rrt	1.3	2	2	Sort the authors in the same order as everywhere else.
/cvsroot/zile/zile/AUTHORS	2004-12-17 12:58:37.0	rrt	1.2	2	2	Make Nicolas Duboc rather more prominent. He deserves it.
/cvsroot/zile/zile/AUTHORS	2004-02-18 15:27:32.0	ssigala	1.1	0	0	CREDITS --&gt; AUTHORS: follows std unix/gnu convention
/cvsroot/zile/zile/COPYING	2004-02-17 21:21:16.0	ssigala	1.1	0	0	* Changed BSD license to GNU GPL:        - Removed COPYRIGHT file        - Added standard COPYING file        - Changed all the copyright declarations in source files.* Removed old lib/err.[ch] unused Zile heritage.* sed s/sandro@sigala.it/zile-devel@lists.sourceforge.net/* configure now checks for both curses.h and ncurses.h, libcurses.a and  libncurses.a.  e.g. on my box (SuSE 8.2) ncurses is installed as  ncurses.h and libncurses.a, on another as curses.h and libncurses.a...* Cleaned up zile.h:          - Now anchors are identified as an opaque type:                 typedef unsigned char Anchor;          - Enumerated UNDO_* delta types;          - Enumerated BMODE_* buffer major modes;          - Removed MINIBUF_{SET,UNSET}_COLOR stuff.* ncurses_minibuf.c:  removed astrlen() function, obsoleted by colors remove.* some other clean up.
/cvsroot/zile/zile/Attic/COPYRIGHT	2004-02-17 21:21:16.0	ssigala	1.6	0	0	* Changed BSD license to GNU GPL:        - Removed COPYRIGHT file        - Added standard COPYING file        - Changed all the copyright declarations in source files.* Removed old lib/err.[ch] unused Zile heritage.* sed s/sandro@sigala.it/zile-devel@lists.sourceforge.net/* configure now checks for both curses.h and ncurses.h, libcurses.a and  libncurses.a.  e.g. on my box (SuSE 8.2) ncurses is installed as  ncurses.h and libncurses.a, on another as curses.h and libncurses.a...* Cleaned up zile.h:          - Now anchors are identified as an opaque type:                 typedef unsigned char Anchor;          - Enumerated UNDO_* delta types;          - Enumerated BMODE_* buffer major modes;          - Removed MINIBUF_{SET,UNSET}_COLOR stuff.* ncurses_minibuf.c:  removed astrlen() function, obsoleted by colors remove.* some other clean up.
/cvsroot/zile/zile/Attic/COPYRIGHT	2004-02-05 11:14:42.0	rrt	1.5	2	1	Update the authors list everywhere, and generally rejig to reflectreality.Change bug-reporting address to the zile-devel mailing list.
