file	tstamp	developer	version	lines_add	lines_del	description
/cvsroot/jikes/jikes/.cvsignore	2002-08-01 03:30:44.0	ericb	1.3	1	0	&#x9;* src/symbol.cpp (FindOrInsertClassLiteral): Fix coredump with&#x9;class literal in static local class, reported on jikes list.
/cvsroot/jikes/jikes/.cvsignore	2002-03-23 07:20:21.0	ericb	1.2	1	0	&#x9;Update to automake 1.6, autoconf 1.53.&#x9;* .cvsignore: Ignore new configuration file.&#x9;* Makefile.in: Regenerate.&#x9;* aclocal.m4: Regenerate.&#x9;* configure: Regenerate.&#x9;* doc/Makefile.in: Regenerate.&#x9;* src/Makefile.in: Regenerate.&#x9;* src/config.h.in: Regenerate.&#x9;* src/platform.h: Remove name conflict.
/cvsroot/jikes/jikes/.cvsignore	2001-09-05 04:34:56.0	ericb	1.1	0	0	Submitted by: Chris Abbey &lt;jikes@cabbey.net&gt;, Eric Blake &lt;ebb9@email.byu.edu&gt;&#x9;* .cvsignore:&#x9;* doc/.cvsignore:&#x9;* src/.cvsignore: Add for convenience.&#x9;* AUTHORS:&#x9;* COPYING:&#x9;* HACKING:&#x9;* INSTALL:&#x9;* NEWS:&#x9;* TODO: Some updates in preparation for 1.15.&#x9;* src/m4/ac_find_encoding.m4:&#x9;* configure.in: Fix some bugs with the autotool chain, add&#x9;--enable-debug to configuration - patch 127.&#x9;* Makefile.in:&#x9;* aclocal.m4:&#x9;* config.guess:&#x9;* config.sub:&#x9;* configure:&#x9;* missing:&#x9;* mkinstalldirs:&#x9;* doc/Makefile.in:&#x9;* src/Makefile.in:&#x9;* src/config.h.in: Regen with latest version of Autotools.
/cvsroot/jikes/jikes/AUTHORS	2004-04-11 20:39:55.0	elliott-oss	1.22	1	0	2004-04-11  Elliott Hughes  &lt;enh@acm.org&gt;&#x9;* AUTHORS: credit where credit&apos;s due.
/cvsroot/jikes/jikes/AUTHORS	2004-02-26 14:43:15.0	ericb	1.21	2	0	2004-02-26  Eric Blake  &lt;ebb9@byu.net&gt;&#x9;* AUTHORS: Give credit where due.&#x9;* src/bytecode.cpp (EmitAssignmentExpression),&#x9;(EmitBinaryExpression, ConcatenateString, EmitStringAppendMethod):&#x9;Use faster StringBuilder (added in 1.5) when available.&#x9;* src/control.h (*_name_symbol): Rearrange the name_symbols to be&#x9;in alphabetic order.&#x9;(GetPrimitiveType): Improve the signature.&#x9;* src/system.cpp: Implement changes to control.h.&#x9;* src/platform.h: Delete lots of unused string constants, now that&#x9;they are more easily generated in system.cpp.&#x9;* src/control.cpp: Whitespace cleanup, and use changes in&#x9;control.h and platform.h.&#x9;* src/decl.cpp: Ditto.&#x9;* src/error.cpp: Ditto.&#x9;* src/error.h: Ditto.&#x9;* src/expr.cpp: Ditto.&#x9;* src/lookup.cpp: Ditto.&#x9;* src/platform.cpp: Ditto.&#x9;* src/symbol.cpp: Ditto.
/cvsroot/jikes/jikes/AUTHORS	2004-02-02 15:46:44.0	ericb	1.20	2	0	2004-02-02  Eric Blake  &lt;ebb9@byu.net&gt;&#x9;* NEWS (1.19a): Placeholder for changes to future 1.20.&#x9;* AUTHORS: Add credit where it is due.&#x9;* src/Makefile.am [MAINTAINER_MODE]: Remove race in parallel&#x9;builds, from automake FAQ.&#x9;* configure.ac: Bump version to 1.19a for CVS development. Fix&#x9;more autoconf style issues.&#x9;* src/m4/ac_check_iconv.m4: Improve iconv checks. Allow configure&#x9;to continue for systems with broken iconv (such as current cygwin).&#x9;* src/m4/ac_find_encoding.m4: Ditto.&#x9;* src/m4/ac_try_encoding.m4: Ditto.&#x9;* src/stream.h [HAVE_ENCODING]: Key off of JIKES_ICONV_ENCODING&#x9;rather than HAVE_ICONV_H, so systems with broken iconv can still&#x9;make it through configure, but without -encoding support.&#x9;* src/stream.cpp [HAVE_ENCODING]: Ditto.&#x9;* src/.cvsignore: Update for new witness files.&#x9;* configure: Regenerate.&#x9;* src/Makefile.in: Ditto.&#x9;* src/config.h.in: Ditto.
/cvsroot/jikes/jikes/AUTHORS	2002-09-13 22:47:09.0	ericb	1.19	1	0	branches:  1.19.2;2002-09-13  Alan Donovan  &lt;adonovan@lcs.mit.edu&gt;&#x9;* src/symbol.cpp (ReadDirectory): Ignore unreadable files (such as&#x9;broken links) - bug 3207.
/cvsroot/jikes/jikes/AUTHORS	2002-08-28 18:39:28.0	ericb	1.18	1	0	2002-08-28 Elliott Hughes &lt;enh@acm.org&gt;&#x9;* src/set.h (primes): g++ 3.1 on Mac OS X 10.2 has trouble&#x9;with static arrays in template classes; avoid these and remove&#x9;duplication of hash-resizing code as a side-effect - patch 349.
/cvsroot/jikes/jikes/AUTHORS	2002-07-09 17:11:29.0	ericb	1.17	2	0	Fix ChangeLog formatting, update AUTHORS
/cvsroot/jikes/jikes/AUTHORS	2002-05-16 05:51:21.0	ericb	1.16	1	0	2002-05-15  Andrew Pimlott  &lt;jikes-dev@andrew.pimlott.net&gt;&#x9;* src/bytecode.cpp (EmitConditionalExpression): Fix bug in&#x9;the patch on 11 May.
